C행정구역별(읍면동),시/도,시/군/구,65세이상인구,총인구,비율,행정구역코드,행정기관코드,비율소수점
'11010,서울특별시, 종로구,24618,154969,16%,11010,11110,0.1589
'11020,서울특별시, 중구,20795,130957,16%,11020,11140,0.1588
'11030,서울특별시, 용산구,33849,227181,15%,11030,11170,0.149
'11040,서울특별시, 성동구,41882,299688,14%,11040,11200,0.1398
'11050,서울특별시, 광진구,46330,359766,13%,11050,11215,0.1288
'11060,서울특별시, 동대문구,56358,355094,16%,11060,11230,0.1587
'11070,서울특별시, 중랑구,62533,386331,16%,11070,11260,0.1619
'11080,서울특별시, 성북구,67230,445327,15%,11080,11290,0.151
'11090,서울특별시, 강북구,57789,303871,19%,11090,11305,0.1902
'11100,서울특별시, 도봉구,56799,323543,18%,11100,11320,0.1756
'11110,서울특별시, 노원구,77719,522480,15%,11110,11350,0.1488
'11120,서울특별시, 은평구,76818,461530,17%,11120,11380,0.1664
'11130,서울특별시, 서대문구,48946,319394,15%,11130,11410,0.1532
'11140,서울특별시, 마포구,48862,369327,13%,11140,11440,0.1323
'11150,서울특별시, 양천구,58748,440354,13%,11150,11470,0.1334
'11160,서울특별시, 강서구,80783,574097,14%,11160,11500,0.1407
'11170,서울특별시, 구로구,66992,435560,15%,11170,11530,0.1538
'11180,서울특별시, 금천구,37815,249747,15%,11180,11545,0.1514
'11190,서울특별시, 영등포구,57606,394083,15%,11190,11560,0.1462
'11200,서울특별시, 동작구,59792,400368,15%,11200,11590,0.1493
'11210,서울특별시, 관악구,73151,507828,14%,11210,11620,0.144
'11220,서울특별시, 서초구,53495,404960,13%,11220,11650,0.1321
'11230,서울특별시, 강남구,66790,509199,13%,11230,11680,0.1312
'11240,서울특별시, 송파구,83510,648600,13%,11240,11710,0.1288
'11250,서울특별시, 강동구,60737,415287,15%,11250,11740,0.1463
'21010,부산광역시, 중구,10261,41958,24%,21010,26110,0.2446
'21020,부산광역시, 서구,24769,105847,23%,21020,26140,0.234
'21030,부산광역시, 동구,21515,85673,25%,21030,26170,0.2511
'21040,부산광역시, 영도구,28495,117959,24%,21040,26200,0.2416
'21050,부산광역시, 부산진구,64547,352390,18%,21050,26230,0.1832
'21060,부산광역시, 동래구,46231,260986,18%,21060,26260,0.1771
'21070,부산광역시, 남구,50037,278849,18%,21070,26290,0.1794
'21080,부산광역시, 북구,44861,285098,16%,21080,26320,0.1574
'21090,부산광역시, 해운대구,63879,392846,16%,21090,26350,0.1626
'21100,부산광역시, 사하구,55145,319828,17%,21100,26380,0.1724
'21110,부산광역시, 금정구,46197,244726,19%,21110,26410,0.1888
'21120,부산광역시, 강서구,13630,128809,11%,21120,26440,0.1058
'21130,부산광역시, 연제구,37186,203959,18%,21130,26470,0.1823
'21140,부산광역시, 수영구,35317,170414,21%,21140,26500,0.2072
'21150,부산광역시, 사상구,36132,222618,16%,21150,26530,0.1623
'21310,부산광역시, 기장군,24517,160732,15%,21310,26710,0.1525
'22010,대구광역시, 중구,14744,75561,20%,22010,27110,0.1951
'22020,대구광역시, 동구,62518,337439,19%,22020,27140,0.1853
'22030,대구광역시, 서구,36722,175243,21%,22030,27170,0.2095
'22040,대구광역시, 남구,32893,147500,22%,22040,27200,0.223
'22050,대구광역시, 북구,59565,446050,13%,22050,27230,0.1335
'22060,대구광역시, 수성구,62197,415283,15%,22060,27260,0.1498
'22070,대구광역시, 달서구,74696,574390,13%,22070,27290,0.13
'22310,대구광역시, 달성군,30130,258474,12%,22310,27710,0.1166
'23010,인천광역시, 중구,18419,131863,14%,23010,28110,0.1397
'23020,인천광역시, 동구,13232,63003,21%,23020,28140,0.21
'23090,인천광역시, 미추홀구,64280,411612,16%,23090,28177,0.1562
'23040,인천광역시, 연수구,33678,374413,9%,23040,28185,0.0899
'23050,인천광역시, 남동구,66215,533119,12%,23050,28200,0.1242
'23060,인천광역시, 부평구,69072,514385,13%,23060,28237,0.1343
'23070,인천광역시, 계양구,34917,298912,12%,23070,28245,0.1168
'23080,인천광역시, 서구,53167,540655,10%,23080,28260,0.0983
'23310,인천광역시, 강화군,20649,65235,32%,23310,28710,0.3165
'23320,인천광역시, 옹진군,4701,19040,25%,23320,28720,0.2469
'24010,광주광역시, 동구,21355,103754,21%,24010,29110,0.2058
'24020,광주광역시, 서구,39830,298033,13%,24020,29140,0.1336
'24030,광주광역시, 남구,36091,217972,17%,24030,29155,0.1656
'24040,광주광역시, 북구,62071,446661,14%,24040,29170,0.139
'24050,광주광역시, 광산구,36973,423310,9%,24050,29200,0.0873
'25010,대전광역시, 동구,40283,237273,17%,25010,30110,0.1698
'25020,대전광역시, 중구,43054,234995,18%,25020,30140,0.1832
'25030,대전광역시, 서구,56552,480920,12%,25030,30170,0.1176
'25040,대전광역시, 유성구,31299,366544,9%,25040,30200,0.0854
'25050,대전광역시, 대덕구,25698,179107,14%,25050,30230,0.1435
'26010,울산광역시, 중구,30210,219428,14%,26010,31110,0.1377
'26020,울산광역시, 남구,36394,322135,11%,26020,31140,0.113
'26030,울산광역시, 동구,17703,162104,11%,26030,31170,0.1092
'26040,울산광역시, 북구,15923,213524,7%,26040,31200,0.0746
'26310,울산광역시, 울주군,29755,226501,13%,26310,31710,0.1314
'29010,세종특별자치시, 세종시,30280,338136,9%,29010,36110,0.0895
'31011,경기도, 장안구,34336,282288,12%,31011,41111,0.1216
'31012,경기도, 권선구,38508,374770,10%,31012,41113,0.1028
'31013,경기도, 팔달구,26069,189052,14%,31013,41115,0.1379
'31014,경기도, 영통구,24744,368876,7%,31014,41117,0.0671
'31021,경기도, 수정구,35185,241256,15%,31021,41131,0.1458
'31022,경기도, 중원구,31260,216005,14%,31022,41133,0.1447
'31023,경기도, 분당구,56060,462634,12%,31023,41135,0.1212
'31030,경기도, 의정부시,64157,440357,15%,31030,41150,0.1457
'31041,경기도, 만안구,36085,246200,15%,31041,41171,0.1466
'31042,경기도, 동안구,34315,311139,11%,31042,41173,0.1103
'31050,경기도, 부천시,104948,836751,13%,31050,41190,0.1254
'31060,경기도, 광명시,40547,313462,13%,31060,41210,0.1294
'31070,경기도, 평택시,59331,521172,11%,31070,41220,0.1138
'31080,경기도, 동두천시,18471,96541,19%,31080,41250,0.1913
'31091,경기도, 상록구,37546,356620,11%,31091,41271,0.1053
'31092,경기도, 단원구,32052,358030,9%,31092,41273,0.0895
'31101,경기도, 덕양구,62661,448571,14%,31101,41281,0.1397
'31103,경기도, 일산동구,35203,287041,12%,31103,41285,0.1226
'31104,경기도, 일산서구,34797,289033,12%,31104,41287,0.1204
'31110,경기도, 과천시,7539,53830,14%,31110,41290,0.1401
'31120,경기도, 구리시,24496,192270,13%,31120,41310,0.1274
'31130,경기도, 남양주시,91633,681077,13%,31130,41360,0.1345
'31140,경기도, 오산시,20820,233998,9%,31140,41370,0.089
'31150,경기도, 시흥시,42865,508749,8%,31150,41390,0.0843
'31160,경기도, 군포시,33854,275154,12%,31160,41410,0.123
'31170,경기도, 의왕시,20356,155826,13%,31170,41430,0.1306
'31180,경기도, 하남시,32173,260544,12%,31180,41450,0.1235
'31191,경기도, 처인구,34460,266647,13%,31191,41461,0.1292
'31192,경기도, 기흥구,53003,434075,12%,31192,41463,0.1221
'31193,경기도, 수지구,45315,351807,13%,31193,41465,0.1288
'31200,경기도, 파주시,59275,454328,13%,31200,41480,0.1305
'31210,경기도, 이천시,28562,222995,13%,31210,41500,0.1281
'31220,경기도, 안성시,30900,202284,15%,31220,41550,0.1528
'31230,경기도, 김포시,50806,442910,11%,31230,41570,0.1147
'31240,경기도, 화성시,67601,838635,8%,31240,41590,0.0806
'31250,경기도, 광주시,45324,375238,12%,31250,41610,0.1208
'31260,경기도, 양주시,33876,224684,15%,31260,41630,0.1508
'31270,경기도, 포천시,26607,159871,17%,31270,41650,0.1664
'31280,경기도, 여주시,22304,111981,20%,31280,41670,0.1992
'31350,경기도, 연천군,10435,42540,25%,31350,41800,0.2453
'31370,경기도, 가평군,14374,59823,24%,31370,41820,0.2403
'31380,경기도, 양평군,27007,111836,24%,31380,41830,0.2415
'32010,강원도, 춘천시,46721,284753,16%,32010,42110,0.1641
'32020,강원도, 원주시,49215,349319,14%,32020,42130,0.1409
'32030,강원도, 강릉시,42072,216357,19%,32030,42150,0.1945
'32040,강원도, 동해시,16825,86780,19%,32040,42170,0.1939
'32050,강원도, 태백시,9869,42474,23%,32050,42190,0.2324
'32060,강원도, 속초시,14478,78643,18%,32060,42210,0.1841
'32070,강원도, 삼척시,15258,67210,23%,32070,42230,0.227
'32310,강원도, 홍천군,16429,66634,25%,32310,42720,0.2466
'32320,강원도, 횡성군,12269,44431,28%,32320,42730,0.2761
'32330,강원도, 영월군,10334,36332,28%,32330,42750,0.2844
'32340,강원도, 평창군,10563,39657,27%,32340,42760,0.2664
'32350,강원도, 정선군,9057,35255,26%,32350,42770,0.2569
'32360,강원도, 철원군,9324,43520,21%,32360,42780,0.2142
'32370,강원도, 화천군,5020,23425,21%,32370,42790,0.2143
'32380,강원도, 양구군,4287,21780,20%,32380,42800,0.1968
'32390,강원도, 인제군,5890,30133,20%,32390,42810,0.1955
'32400,강원도, 고성군,7212,27144,27%,32400,42820,0.2657
'32410,강원도, 양양군,7650,26280,29%,32410,42830,0.2911
'33041,충청북도, 상당구,26493,173783,15%,33041,43111,0.1524
'33042,충청북도, 서원구,27898,210273,13%,33042,43112,0.1327
'33043,충청북도, 흥덕구,27524,266301,10%,33043,43113,0.1034
'33044,충청북도, 청원구,23244,200581,12%,33044,43114,0.1159
'33020,충청북도, 충주시,38968,216446,18%,33020,43130,0.18
'33030,충청북도, 제천시,27142,136093,20%,33030,43150,0.1994
'33320,충청북도, 보은군,10498,32001,33%,33320,43720,0.3281
'33330,충청북도, 옥천군,14006,49117,29%,33330,43730,0.2852
'33340,충청북도, 영동군,14137,48004,29%,33340,43740,0.2945
'33390,충청북도, 증평군,5998,37493,16%,33390,43745,0.16
'33350,충청북도, 진천군,12845,87525,15%,33350,43750,0.1468
'33360,충청북도, 괴산군,11717,38808,30%,33360,43760,0.3019
'33370,충청북도, 음성군,18412,104823,18%,33370,43770,0.1756
'33380,충청북도, 단양군,8272,28095,29%,33380,43800,0.2944
'34011,충청남도, 동남구,34948,279153,13%,34011,44131,0.1252
'34012,충청남도, 서북구,32042,400590,8%,34012,44133,0.08
'34020,충청남도, 공주시,25724,109877,23%,34020,44150,0.2341
'34030,충청남도, 보령시,23883,99320,24%,34030,44180,0.2405
'34040,충청남도, 아산시,39379,347032,11%,34040,44200,0.1135
'34050,충청남도, 서산시,30460,175204,17%,34050,44210,0.1739
'34060,충청남도, 논산시,29298,122111,24%,34060,44230,0.2399
'34070,충청남도, 계룡시,4681,41153,11%,34070,44250,0.1137
'34080,충청남도, 당진시,29086,169171,17%,34080,44270,0.1719
'34310,충청남도, 금산군,14890,54442,27%,34310,44710,0.2735
'34330,충청남도, 부여군,21293,65337,33%,34330,44760,0.3259
'34340,충청남도, 서천군,17894,51826,35%,34340,44770,0.3453
'34350,충청남도, 청양군,10298,30783,33%,34350,44790,0.3345
'34360,충청남도, 홍성군,22316,102791,22%,34360,44800,0.2171
'34370,충청남도, 예산군,22670,78963,29%,34370,44810,0.2871
'34380,충청남도, 태안군,17672,60896,29%,34380,44825,0.2902
'35011,전라북도, 완산구,51411,341123,15%,35011,45111,0.1507
'35012,전라북도, 덕진구,42465,320963,13%,35012,45113,0.1323
'35020,전라북도, 군산시,46563,270635,17%,35020,45130,0.1721
'35030,전라북도, 익산시,51976,290119,18%,35030,45140,0.1792
'35040,전라북도, 정읍시,28180,107348,26%,35040,45180,0.2625
'35050,전라북도, 남원시,21318,77690,27%,35050,45190,0.2744
'35060,전라북도, 김제시,24404,80422,30%,35060,45210,0.3034
'35310,전라북도, 완주군,19773,96212,21%,35310,45710,0.2055
'35320,전라북도, 진안군,7881,23013,34%,35320,45720,0.3425
'35330,전라북도, 무주군,7469,22852,33%,35330,45730,0.3268
'35340,전라북도, 장수군,6872,21267,32%,35340,45740,0.3231
'35350,전라북도, 임실군,9013,26144,34%,35350,45750,0.3447
'35360,전라북도, 순창군,8955,26642,34%,35360,45770,0.3361
'35370,전라북도, 고창군,17481,53260,33%,35370,45790,0.3282
'35380,전라북도, 부안군,15929,49733,32%,35380,45800,0.3203
'36010,전라남도, 목포시,36189,228876,16%,36010,46110,0.1581
'36020,전라남도, 여수시,49647,270283,18%,36020,46130,0.1837
'36030,전라남도, 순천시,40810,270202,15%,36030,46150,0.151
'36040,전라남도, 나주시,24180,112101,22%,36040,46170,0.2157
'36060,전라남도, 광양시,18150,143656,13%,36060,46230,0.1263
'36310,전라남도, 담양군,13077,43804,30%,36310,46710,0.2985
'36320,전라남도, 곡성군,9451,27858,34%,36320,46720,0.3393
'36330,전라남도, 구례군,8287,23836,35%,36330,46730,0.3477
'36350,전라남도, 고흥군,24156,60332,40%,36350,46770,0.4004
'36360,전라남도, 보성군,14431,38339,38%,36360,46780,0.3764
'36370,전라남도, 화순군,15707,59671,26%,36370,46790,0.2632
'36380,전라남도, 장흥군,11748,35494,33%,36380,46800,0.331
'36390,전라남도, 강진군,11020,32805,34%,36390,46810,0.3359
'36400,전라남도, 해남군,20413,65175,31%,36400,46820,0.3132
'36410,전라남도, 영암군,13201,57476,23%,36410,46830,0.2297
'36420,전라남도, 무안군,15759,81789,19%,36420,46840,0.1927
'36430,전라남도, 함평군,10700,30556,35%,36430,46860,0.3502
'36440,전라남도, 영광군,14090,50004,28%,36440,46870,0.2818
'36450,전라남도, 장성군,12085,42193,29%,36450,46880,0.2864
'36460,전라남도, 완도군,14625,48366,30%,36460,46890,0.3024
'36470,전라남도, 진도군,9318,29295,32%,36470,46900,0.3181
'36480,전라남도, 신안군,12671,35432,36%,36480,46910,0.3576
'37011,경상북도, 남구,37012,233172,16%,37011,47111,0.1587
'37012,경상북도, 북구,44235,268892,16%,37012,47113,0.1645
'37020,경상북도, 경주시,53055,264314,20%,37020,47130,0.2007
'37030,경상북도, 김천시,30495,139902,22%,37030,47150,0.218
'37040,경상북도, 안동시,36930,160344,23%,37040,47170,0.2303
'37050,경상북도, 구미시,37194,420319,9%,37050,47190,0.0885
'37060,경상북도, 영주시,26704,105235,25%,37060,47210,0.2538
'37070,경상북도, 영천시,26438,100487,26%,37070,47230,0.2631
'37080,경상북도, 상주시,28640,96641,30%,37080,47250,0.2964
'37090,경상북도, 문경시,20044,68542,29%,37090,47280,0.2924
'37100,경상북도, 경산시,41971,290088,14%,37100,47290,0.1447
'37310,경상북도, 군위군,8545,22206,38%,37310,47720,0.3848
'37320,경상북도, 의성군,20099,49477,41%,37320,47730,0.4062
'37330,경상북도, 청송군,8719,23958,36%,37330,47750,0.3639
'37340,경상북도, 영양군,5851,16146,36%,37340,47760,0.3624
'37350,경상북도, 영덕군,12782,35672,36%,37350,47770,0.3583
'37360,경상북도, 청도군,14727,41054,36%,37360,47820,0.3587
'37370,경상북도, 고령군,9210,32191,29%,37370,47830,0.2861
'37380,경상북도, 성주군,12513,41314,30%,37380,47840,0.3029
'37390,경상북도, 칠곡군,16952,118517,14%,37390,47850,0.143
'37400,경상북도, 예천군,15881,53020,30%,37400,47900,0.2995
'37410,경상북도, 봉화군,10804,30308,36%,37410,47920,0.3565
'37420,경상북도, 울진군,12735,47651,27%,37420,47930,0.2673
'37430,경상북도, 울릉군,2042,8704,23%,37430,47940,0.2346
'38111,경상남도, 의창구,30206,256001,12%,38111,48121,0.118
'38112,경상남도, 성산구,16219,219951,7%,38112,48123,0.0737
'38113,경상남도, 마산합포구,34788,177579,20%,38113,48125,0.1959
'38114,경상남도, 마산회원구,31157,192446,16%,38114,48127,0.1619
'38115,경상남도, 진해구,25405,190885,13%,38115,48129,0.1331
'38030,경상남도, 진주시,54912,354166,16%,38030,48170,0.155
'38050,경상남도, 통영시,23018,129931,18%,38050,48220,0.1772
'38060,경상남도, 사천시,22962,111110,21%,38060,48240,0.2067
'38070,경상남도, 김해시,57030,549331,10%,38070,48250,0.1038
'38080,경상남도, 밀양시,26979,103402,26%,38080,48270,0.2609
'38090,경상남도, 거제시,24073,251226,10%,38090,48310,0.0958
'38100,경상남도, 양산시,43747,347221,13%,38100,48330,0.126
'38310,경상남도, 의령군,9146,26040,35%,38310,48720,0.3512
'38320,경상남도, 함안군,14790,66611,22%,38320,48730,0.222
'38330,경상남도, 창녕군,17636,62370,28%,38330,48740,0.2828
'38340,경상남도, 고성군,14841,50887,29%,38340,48820,0.2916
'38350,경상남도, 남해군,15195,42169,36%,38350,48840,0.3603
'38360,경상남도, 하동군,14192,42583,33%,38360,48850,0.3333
'38370,경상남도, 산청군,11834,33579,35%,38370,48860,0.3524
'38380,경상남도, 함양군,12217,37384,33%,38380,48870,0.3268
'38390,경상남도, 거창군,15983,59888,27%,38390,48880,0.2669
'38400,경상남도, 합천군,16255,42449,38%,38400,48890,0.3829
'39010,제주특별자치도, 제주시,65170,487688,13%,39010,50110,0.1336
'39020,제주특별자치도, 서귀포시,32300,177360,18%,39020,50130,0.1821
