,기관코드_int,시군구1,시군구2,계,상급종합병원,종합병원,병원,요양병원,의원,치과병원,치과의원,한방병원,한의원,보건소,보건지소,보건진료소,보건의료원,조산원,약국,65세이상인구,총인구,비율소수점
125,26410,부산,금정구,466,0,1,10,22,147,0,96,2,81,1,0,0,0,0,106,46197,244726,0.1888
126,26710,부산,기장군,229,0,1,5,5,82,1,40,0,33,1,4,2,0,0,55,24517,160732,0.1525
127,26290,부산,남구,475,0,1,8,8,157,1,99,0,90,1,0,0,0,0,110,50037,278849,0.1794
128,26170,부산,동구,239,0,3,5,6,77,2,34,1,44,1,0,0,0,0,66,21515,85673,0.2511
129,26260,부산,동래구,608,0,3,16,17,184,4,130,0,117,1,0,0,0,0,136,46231,260986,0.1771
130,26230,부산,부산진구,986,1,3,19,14,429,3,170,1,157,1,0,0,0,0,188,64547,352390,0.1832
131,26320,부산,북구,465,0,2,11,14,166,3,88,0,77,1,1,0,0,0,102,44861,285098,0.1574
132,26530,부산,사상구,317,0,2,8,18,111,1,58,0,42,1,0,0,0,0,76,36132,222618,0.1623
133,26380,부산,사하구,541,0,0,18,25,184,1,100,2,85,1,0,0,0,0,125,55145,319828,0.1724
134,26140,부산,서구,235,3,1,4,6,60,0,34,1,35,1,0,0,0,0,90,24769,105847,0.234
135,26500,부산,수영구,395,0,2,8,11,123,1,78,0,82,1,0,0,0,1,88,35317,170414,0.2072
136,26470,부산,연제구,450,0,1,10,16,153,2,89,1,80,1,0,0,0,1,96,37186,203959,0.1823
137,26200,부산,영도구,203,0,2,1,5,73,0,31,0,34,1,0,0,0,0,56,28495,117959,0.2416
138,26110,부산,중구,182,0,1,1,5,69,0,39,1,25,1,0,0,0,0,40,10261,41958,0.2446
139,26350,부산,해운대구,814,0,2,14,18,320,4,160,1,133,1,2,0,0,0,159,63879,392846,0.1626
140,11680,서울,강남구,3088,2,2,33,9,1639,15,566,11,366,1,0,0,0,0,444,66790,509199,0.1312
141,11740,서울,강동구,1023,0,3,15,6,354,3,218,5,185,1,0,0,0,0,233,60737,415287,0.1463
142,11305,서울,강북구,628,0,1,8,6,225,1,124,0,96,1,0,0,0,0,166,57789,303871,0.1902
143,11500,서울,강서구,1080,0,4,17,4,394,3,219,4,191,1,0,0,0,0,243,80783,574097,0.1407
144,11620,서울,관악구,909,0,1,10,3,319,1,204,2,153,1,0,0,0,0,215,73151,507828,0.144
145,11215,서울,광진구,723,1,1,5,3,268,2,154,0,118,1,0,0,0,0,170,46330,359766,0.1288
146,11530,서울,구로구,741,1,1,8,9,261,1,166,2,110,1,1,0,0,0,180,66992,435560,0.1538
147,11545,서울,금천구,475,0,1,6,4,158,0,106,3,78,1,0,0,0,0,118,37815,249747,0.1514
148,11350,서울,노원구,952,0,3,7,6,350,3,195,2,159,1,1,0,0,0,225,77719,522480,0.1488
149,11320,서울,도봉구,485,0,1,8,6,163,1,103,2,85,1,0,0,0,0,115,56799,323543,0.1756
150,11230,서울,동대문구,832,1,3,14,9,260,4,157,1,157,1,0,0,0,1,224,56358,355094,0.1587
151,11590,서울,동작구,762,1,1,5,3,259,2,172,1,132,1,0,0,0,0,185,59792,400368,0.1493
152,11440,서울,마포구,929,0,0,2,3,371,3,200,1,150,1,0,0,0,0,198,48862,369327,0.1323
153,11410,서울,서대문구,587,1,1,5,3,208,2,125,1,89,1,1,0,0,0,150,48946,319394,0.1532
154,11650,서울,서초구,1465,1,0,12,4,630,5,315,6,252,1,2,0,0,1,236,53495,404960,0.1321
155,11200,서울,성동구,593,1,0,6,3,213,1,127,0,93,1,0,0,0,0,148,41882,299688,0.1398
156,11290,서울,성북구,729,1,0,6,7,251,1,149,0,113,1,0,0,0,0,200,67230,445327,0.151
157,11710,서울,송파구,1527,1,1,16,10,561,4,318,4,250,1,1,0,0,0,360,83510,648600,0.1288
158,11470,서울,양천구,816,0,3,5,5,279,4,177,3,150,1,0,0,0,0,189,58748,440354,0.1334
159,11560,서울,영등포구,1001,0,7,8,12,339,1,238,2,149,1,0,0,0,0,244,57606,394083,0.1462
160,11170,서울,용산구,435,0,1,2,0,135,0,106,0,62,1,0,0,0,1,127,33849,227181,0.149
161,11380,서울,은평구,874,0,2,11,6,320,1,175,2,145,1,2,0,0,0,209,76818,461530,0.1664
162,11110,서울,종로구,668,2,2,3,0,193,1,163,0,131,1,0,0,0,0,172,24618,154969,0.1589
163,11140,서울,중구,728,0,2,4,0,241,6,211,1,95,1,0,0,0,0,167,20795,130957,0.1588
164,11260,서울,중랑구,689,0,3,12,3,237,0,148,0,108,1,0,0,0,0,177,62533,386331,0.1619
165,36110,세종특별자치시,세종특별자치시,491,0,1,0,6,181,1,85,1,76,1,10,7,0,0,122,30280,338136,0.0895
166,31140,울산,남구,765,0,3,20,18,271,2,179,2,115,1,1,0,0,0,153,36394,322135,0.113
167,31170,울산,동구,242,0,1,1,4,87,1,45,0,36,1,0,0,0,0,66,17703,162104,0.1092
168,31200,울산,북구,211,0,1,4,4,69,1,48,1,32,1,0,2,0,0,48,15923,213524,0.0746
169,31710,울산,울주군,260,0,1,8,11,74,0,44,0,44,1,7,9,0,0,61,29755,226501,0.1314
170,31110,울산,중구,323,0,2,10,5,108,0,67,0,48,1,0,0,0,0,82,30210,219428,0.1377
171,28710,인천,강화군,107,0,1,2,4,20,0,14,1,16,1,13,13,0,0,22,20649,65235,0.3165
172,28245,인천,계양구,477,0,2,8,10,160,0,105,4,71,1,1,0,0,1,114,34917,298912,0.1168
173,28200,인천,남동구,955,1,0,14,18,355,1,189,7,148,1,0,0,0,0,221,66215,533119,0.1242
174,28140,인천,동구,122,0,2,0,0,42,0,25,0,18,1,0,0,0,0,34,13232,63003,0.21
175,28177,인천,미추홀구,643,0,2,13,14,211,1,124,7,93,2,1,0,0,0,175,64280,411612,0.1562
176,28237,인천,부평구,847,1,2,10,8,308,4,170,8,124,1,1,0,0,0,210,69072,514385,0.1343
177,28260,인천,서구,670,0,5,8,9,240,1,144,4,94,1,0,0,0,0,164,53167,540655,0.0983
178,28185,인천,연수구,467,0,1,4,4,177,2,101,1,76,1,1,0,0,0,99,33678,374413,0.0899
179,28720,인천,옹진군,32,0,0,1,0,3,0,3,0,2,0,8,12,0,0,3,4701,19040,0.2469
180,28110,인천,중구,177,1,1,2,4,57,0,36,1,16,1,2,1,0,0,55,18419,131863,0.1397
181,46810,전남,강진군,71,0,0,2,1,20,0,6,0,7,1,10,7,0,0,17,11020,32805,0.3359
182,46770,전남,고흥군,141,0,1,3,1,32,0,12,0,17,1,16,26,0,0,32,24156,60332,0.4004
183,46720,전남,곡성군,70,0,0,1,2,14,0,9,0,5,0,8,15,1,0,15,9451,27858,0.3393
184,46230,전남,광양시,210,0,1,4,5,62,0,40,1,25,1,8,14,0,0,49,18150,143656,0.1263
185,46730,전남,구례군,57,0,0,1,3,10,0,5,0,7,0,7,12,1,0,11,8287,23836,0.3477
186,46170,전남,나주시,214,0,1,4,10,61,0,34,3,25,1,13,15,0,0,47,24180,112101,0.2157
187,46710,전남,담양군,98,0,0,2,7,22,0,12,1,10,1,11,11,0,0,21,13077,43804,0.2985
188,46110,전남,목포시,406,0,5,16,7,135,2,63,9,48,1,1,0,0,1,118,36189,228876,0.1581
189,46840,전남,무안군,141,0,1,2,4,44,1,17,2,16,1,8,11,0,0,34,15759,81789,0.1927
190,46780,전남,보성군,98,0,0,2,4,23,0,9,0,9,1,10,15,0,0,25,14431,38339,0.3764
191,46150,전남,순천시,452,0,5,17,7,134,1,89,5,53,1,9,22,0,0,109,40810,270202,0.151
192,46910,전남,신안군,77,0,0,2,2,12,0,5,0,5,1,16,23,0,0,11,12671,35432,0.3576
193,46130,전남,여수시,471,0,3,7,11,153,2,79,2,55,1,12,28,0,0,118,49647,270283,0.1837
194,46870,전남,영광군,116,0,2,0,2,34,0,15,0,13,1,7,13,0,0,29,14090,50004,0.2818
195,46830,전남,영암군,100,0,0,2,2,23,0,13,0,14,1,10,13,0,0,22,13201,57476,0.2297
196,46890,전남,완도군,96,0,0,1,0,25,0,10,0,9,0,12,18,1,0,20,14625,48366,0.3024
197,46880,전남,장성군,80,0,0,2,2,19,0,9,0,10,1,9,11,0,0,17,12085,42193,0.2864
198,46800,전남,장흥군,80,0,1,1,1,23,0,8,1,10,1,8,11,0,0,15,11748,35494,0.331
199,46900,전남,진도군,68,0,0,2,1,16,0,7,0,7,1,6,15,0,0,13,9318,29295,0.3181
200,46860,전남,함평군,76,0,0,2,2,15,1,8,0,7,1,8,16,0,0,16,10700,30556,0.3502
201,46820,전남,해남군,135,0,2,2,2,36,0,16,0,10,1,13,18,0,0,35,20413,65175,0.3132
202,46790,전남,화순군,132,1,0,3,14,31,0,16,1,11,1,12,13,0,0,29,15707,59671,0.2632
203,45790,전북,고창군,123,0,1,1,5,31,0,13,0,11,1,12,24,0,0,24,17481,53260,0.3282
204,45130,전북,군산시,494,0,2,6,9,159,0,77,2,74,1,14,19,0,0,131,46563,270635,0.1721
205,45210,전북,김제시,188,0,0,8,4,51,0,19,1,19,1,14,25,0,0,46,24404,80422,0.3034
206,45190,전북,남원시,186,0,1,2,4,58,0,21,0,21,1,15,24,0,0,39,21318,77690,0.2744
207,45730,전북,무주군,53,0,0,0,0,12,0,5,0,8,0,5,9,1,0,13,7469,22852,0.3268
208,45800,전북,부안군,118,0,1,5,2,26,0,15,0,17,1,11,11,0,0,29,15929,49733,0.3203
209,45770,전북,순창군,72,0,0,1,1,17,0,6,0,6,0,10,17,1,0,13,8955,26642,0.3361
210,45710,전북,완주군,170,0,0,4,6,50,0,18,0,24,1,12,17,0,0,38,19773,96212,0.2055
211,45140,전북,익산시,556,1,1,7,11,174,1,95,5,78,1,15,24,0,0,143,51976,290119,0.1792
212,45750,전북,임실군,79,0,0,1,1,16,0,6,0,8,0,11,20,1,0,15,9013,26144,0.3447
213,45740,전북,장수군,44,0,0,0,0,8,0,5,0,4,0,5,11,1,0,10,6872,21267,0.3231
214,45113,전북,전주시 덕진구,591,1,2,7,17,211,1,115,10,77,0,0,2,0,0,148,42465,320963,0.1323
215,45111,전북,전주시 완산구,790,0,2,26,18,265,1,155,11,121,1,0,1,0,0,189,51411,341123,0.1507
216,45180,전북,정읍시,256,0,1,4,5,76,0,34,1,32,1,15,26,0,0,61,28180,107348,0.2625
217,45720,전북,진안군,54,0,0,2,0,11,0,4,0,5,1,10,12,0,0,9,7881,23013,0.3425
218,50130,제주,서귀포시,315,0,1,3,0,105,0,55,0,50,3,5,24,0,0,69,32300,177360,0.1821
219,50110,제주,제주시,930,0,5,4,10,343,1,163,0,143,3,6,23,0,1,228,65170,487688,0.1336
220,44250,충남,계룡시,61,0,0,1,1,18,0,13,0,11,1,2,0,0,0,14,4681,41153,0.1137
221,44150,충남,공주시,221,0,1,1,10,66,0,25,1,32,1,10,19,0,0,55,25724,109877,0.2341
222,44710,충남,금산군,119,0,0,1,3,35,0,13,0,16,1,9,8,0,0,33,14890,54442,0.2735
223,44230,충남,논산시,262,0,1,2,12,77,0,32,0,36,1,13,26,0,0,62,29298,122111,0.2399
224,44270,충남,당진시,265,0,1,3,4,81,1,44,0,32,1,11,19,0,0,68,29086,169171,0.1719
225,44180,충남,보령시,186,0,1,2,4,53,0,24,0,29,1,10,17,0,0,45,23883,99320,0.2405
226,44760,충남,부여군,137,0,0,1,5,30,0,16,0,16,1,15,20,0,0,33,21293,65337,0.3259
227,44210,충남,서산시,261,0,2,0,2,77,0,48,0,37,1,10,15,0,0,69,30460,175204,0.1739
228,44770,충남,서천군,116,0,0,1,5,30,0,12,0,14,1,10,17,0,0,26,17894,51826,0.3453
229,44200,충남,아산시,435,0,1,9,10,135,1,83,1,60,1,11,16,0,0,107,39379,347032,0.1135
230,44810,충남,예산군,156,0,1,1,0,41,0,21,0,22,1,12,16,0,0,41,22670,78963,0.2871
231,44131,충남,천안시 동남구,421,2,1,2,12,129,3,68,0,72,1,8,11,0,0,112,34948,279153,0.1252
232,44133,충남,천안시 서북구,648,0,1,18,11,213,5,116,6,98,1,4,7,0,0,168,32042,400590,0.08
233,44790,충남,청양군,62,0,0,1,2,10,0,6,0,6,0,9,13,1,0,14,10298,30783,0.3345
234,44825,충남,태안군,112,0,0,1,1,29,1,13,1,13,0,6,16,1,0,30,17672,60896,0.2902
235,44800,충남,홍성군,179,0,1,0,6,50,0,26,2,23,1,11,14,0,0,45,22316,102791,0.2171
236,43760,충북,괴산군,64,0,0,2,1,9,0,5,0,6,1,12,17,0,0,11,11717,38808,0.3019
237,43800,충북,단양군,52,0,0,1,1,7,0,6,0,4,1,7,15,0,0,10,8272,28095,0.2944
238,43720,충북,보은군,74,0,0,2,2,16,0,6,0,7,1,8,15,0,0,17,10498,32001,0.3281
239,43740,충북,영동군,108,0,0,1,3,27,0,10,0,15,1,10,17,0,0,24,14137,48004,0.2945
240,43730,충북,옥천군,107,0,1,0,4,30,0,11,0,15,1,8,16,0,0,21,14006,49117,0.2852
241,43770,충북,음성군,169,0,0,4,3,47,0,26,0,21,1,8,18,0,0,41,18412,104823,0.1756
242,43150,충북,제천시,245,0,2,1,7,85,0,39,1,35,1,8,11,0,0,55,27142,136093,0.1994
243,43745,충북,증평군,62,0,0,1,0,20,0,8,0,8,1,1,1,0,0,22,5998,37493,0.16
244,43750,충북,진천군,121,0,1,0,2,36,0,21,0,17,1,7,7,0,0,29,12845,87525,0.1468
245,43111,충북,청주시 상당구,345,0,2,3,3,118,0,58,3,57,2,4,11,0,0,84,26493,173783,0.1524
246,43112,충북,청주시 서원구,335,1,1,5,8,114,2,50,1,55,1,2,2,0,0,93,27898,210273,0.1327
247,43114,충북,청주시 청원구,285,0,1,5,4,99,0,53,0,40,1,3,7,0,1,71,23244,200581,0.1159
248,43113,충북,청주시 흥덕구,455,0,2,9,4,160,1,89,1,76,0,4,5,0,0,104,27524,266301,0.1034
249,43130,충북,충주시,347,0,2,3,7,123,1,49,1,47,1,13,16,0,0,84,38968,216446,0.18
