코드,시군구1,시군구2,계,상급종합병원,종합병원,병원,요양병원,의원,치과병원,치과의원,한방병원,한의원,보건소,보건지소,보건진료소,보건의료원,조산원,약국
229,경기,가평군,114,0,0,3,3,26,0,20,1,16,1,5,15,0,0,24
176,서울,강남구,3088,2,2,33,9,1639,15,566,11,366,1,0,0,0,0,444
178,서울,강동구,1023,0,3,15,6,354,3,218,5,185,1,0,0,0,0,233
233,강원,강릉시,347,0,4,3,4,114,1,56,0,59,1,7,9,0,0,89
162,서울,강북구,628,0,1,8,6,225,1,124,0,96,1,0,0,0,0,166
90,부산,강서구,147,0,0,4,0,49,1,27,0,21,1,4,3,0,0,37
169,서울,강서구,1080,0,4,17,4,394,3,219,4,191,1,0,0,0,0,243
32,전남,강진군,71,0,0,2,1,20,0,6,0,7,1,10,7,0,0,17
187,인천,강화군,107,0,1,2,4,20,0,14,1,16,1,13,13,0,0,22
142,경남,거제시,317,0,3,7,2,102,3,55,0,46,1,10,12,0,0,76
152,경남,거창군,127,0,0,2,3,31,0,16,0,13,1,11,18,0,0,32
118,경북,경산시,427,0,1,4,12,146,2,74,0,63,1,8,10,0,0,106
110,경북,경주시,407,0,1,10,14,115,2,58,1,68,1,12,16,0,0,109
70,충남,계룡시,61,0,0,1,1,18,0,13,0,11,1,2,0,0,0,14
185,인천,계양구,477,0,2,8,10,160,0,105,4,71,1,1,0,0,1,114
125,경북,고령군,62,0,0,1,2,12,0,8,0,10,1,7,10,0,0,11
147,경남,고성군,89,0,0,3,2,19,0,11,0,12,1,13,12,0,0,16
247,강원,고성군,41,0,0,0,0,7,0,5,0,4,1,3,9,0,0,12
205,경기,고양시덕양구,645,0,1,8,7,224,2,116,0,116,1,0,0,0,0,170
206,경기,고양시일산동구,478,0,4,11,17,154,2,96,3,70,1,0,0,0,0,120
207,경기,고양시일산서구,485,0,1,5,7,169,2,93,0,91,1,0,0,0,0,116
18,전북,고창군,123,0,1,1,5,31,0,13,0,11,1,12,24,0,0,24
28,전남,고흥군,141,0,1,3,1,32,0,12,0,17,1,16,26,0,0,32
26,전남,곡성군,70,0,0,1,2,14,0,9,0,5,0,8,15,1,0,15
65,충남,공주시,221,0,1,1,10,66,0,25,1,32,1,10,19,0,0,55
208,경기,과천시,92,0,0,0,0,38,1,17,0,14,1,0,0,0,0,21
174,서울,관악구,909,0,1,10,3,319,1,204,2,153,1,0,0,0,0,215
200,경기,광명시,530,0,1,5,5,205,0,114,0,81,1,0,0,0,0,118
4,광주,광산구,640,0,6,18,17,206,3,139,18,72,1,1,7,0,0,152
24,전남,광양시,210,0,1,4,5,62,0,40,1,25,1,8,14,0,0,49
224,경기,광주시,406,0,1,2,7,131,1,74,0,69,1,3,12,0,0,105
158,서울,광진구,723,1,1,5,3,268,2,154,0,118,1,0,0,0,0,170
60,충북,괴산군,64,0,0,2,1,9,0,5,0,6,1,12,17,0,0,11
27,전남,구례군,57,0,0,1,3,10,0,5,0,7,0,7,12,1,0,11
170,서울,구로구,741,1,1,8,9,261,1,166,2,110,1,1,0,0,0,180
209,경기,구리시,418,0,1,9,5,146,0,93,0,66,1,2,0,0,0,95
113,경북,구미시,616,0,3,8,9,217,5,104,0,92,2,8,12,0,0,156
7,전북,군산시,494,0,2,6,9,159,0,77,2,74,1,14,19,0,0,131
119,경북,군위군,41,0,0,0,0,8,0,4,0,4,1,7,10,0,0,7
213,경기,군포시,429,0,2,3,8,140,2,97,0,68,1,1,0,0,0,107
72,충남,금산군,119,0,0,1,3,35,0,13,0,16,1,9,8,0,0,33
89,부산,금정구,466,0,1,10,22,147,0,96,2,81,1,0,0,0,0,106
171,서울,금천구,475,0,1,6,4,158,0,106,3,78,1,0,0,0,0,118
94,부산,기장군,229,0,1,5,5,82,1,40,0,33,1,4,2,0,0,55
11,전북,김제시,188,0,0,8,4,51,0,19,1,19,1,14,25,0,0,46
111,경북,김천시,212,0,2,1,4,60,0,33,0,24,1,15,16,0,0,56
222,경기,김포시,604,0,2,15,7,200,0,131,6,94,1,6,7,0,0,135
140,경남,김해시,711,0,5,25,35,218,5,130,3,104,1,8,1,0,0,176
23,전남,나주시,214,0,1,4,10,61,0,34,3,25,1,13,15,0,0,47
2,광주,남구,427,0,3,15,9,128,0,103,17,45,1,0,2,0,0,104
85,부산,남구,475,0,1,8,8,157,1,99,0,90,1,0,0,0,0,110
98,대구,남구,345,2,1,7,10,103,0,56,0,62,1,0,0,0,0,103
104,울산,남구,765,0,3,20,18,271,2,179,2,115,1,1,0,0,0,153
183,인천,남동구,955,1,0,14,18,355,1,189,7,148,1,0,0,0,0,221
210,경기,남양주시,912,0,3,12,19,308,0,194,0,139,2,6,3,0,1,225
10,전북,남원시,186,0,1,2,4,58,0,21,0,21,1,15,24,0,0,39
148,경남,남해군,88,0,0,1,1,23,0,9,0,9,1,9,15,0,0,20
164,서울,노원구,952,0,3,7,6,350,3,195,2,159,1,1,0,0,0,225
69,충남,논산시,262,0,1,2,12,77,0,32,0,36,1,13,26,0,0,62
62,충북,단양군,52,0,0,1,1,7,0,6,0,4,1,7,15,0,0,10
101,대구,달서구,1064,1,4,31,13,378,5,195,0,172,1,0,0,0,0,264
102,대구,달성군,361,0,0,6,8,123,0,60,0,59,1,8,8,0,0,88
25,전남,담양군,98,0,0,2,7,22,0,12,1,10,1,11,11,0,0,21
71,충남,당진시,265,0,1,3,4,81,1,44,0,32,1,11,19,0,0,68
48,대전,대덕구,310,0,2,4,4,113,1,47,0,47,1,0,1,0,0,90
163,서울,도봉구,485,0,1,8,6,163,1,103,2,85,1,0,0,0,0,115
0,광주,동구,327,2,1,6,10,113,1,56,6,34,1,0,0,0,0,97
44,대전,동구,447,0,1,4,11,156,1,74,1,82,1,1,1,0,0,114
81,부산,동구,239,0,3,5,6,77,2,34,1,44,1,0,0,0,0,66
96,대구,동구,649,0,1,9,7,236,0,103,0,117,1,0,0,0,0,175
105,울산,동구,242,0,1,1,4,87,1,45,0,36,1,0,0,0,0,66
180,인천,동구,122,0,2,0,0,42,0,25,0,18,1,0,0,0,0,34
159,서울,동대문구,832,1,3,14,9,260,4,157,1,157,1,0,0,0,1,224
202,경기,동두천시,140,0,0,1,10,41,0,26,0,18,1,0,0,0,0,43
84,부산,동래구,608,0,3,16,17,184,4,130,0,117,1,0,0,0,0,136
173,서울,동작구,762,1,1,5,3,259,2,172,1,132,1,0,0,0,0,185
234,강원,동해시,140,0,1,2,3,50,0,26,0,17,1,1,0,0,0,39
167,서울,마포구,929,0,0,2,3,371,3,200,1,150,1,0,0,0,0,198
20,전남,목포시,406,0,5,16,7,135,2,63,9,48,1,1,0,0,1,118
35,전남,무안군,141,0,1,2,4,44,1,17,2,16,1,8,11,0,0,34
14,전북,무주군,53,0,0,0,0,12,0,5,0,8,0,5,9,1,0,13
117,경북,문경시,147,0,1,2,1,45,0,19,0,18,1,9,13,0,0,38
181,인천,미추홀구,643,0,2,13,14,211,1,124,7,93,2,1,0,0,0,175
141,경남,밀양시,178,0,0,8,5,44,0,26,1,23,1,9,15,0,0,46
66,충남,보령시,186,0,1,2,4,53,0,24,0,29,1,10,17,0,0,45
29,전남,보성군,98,0,0,2,4,23,0,9,0,9,1,10,15,0,0,25
55,충북,보은군,74,0,0,2,2,16,0,6,0,7,1,8,15,0,0,17
129,경북,봉화군,47,0,0,1,1,7,0,4,0,7,1,9,7,0,0,10
83,부산,부산진구,986,1,3,19,14,429,3,170,1,157,1,0,0,0,0,188
19,전북,부안군,118,0,1,5,2,26,0,15,0,17,1,11,11,0,0,29
73,충남,부여군,137,0,0,1,5,30,0,16,0,16,1,15,20,0,0,33
199,경기,부천시,1432,1,4,23,31,510,4,282,9,218,3,0,0,0,1,346
184,인천,부평구,847,1,2,10,8,308,4,170,8,124,1,1,0,0,0,210
3,광주,북구,782,0,6,22,19,251,1,183,26,85,1,0,0,0,0,188
86,부산,북구,465,0,2,11,14,166,3,88,0,77,1,1,0,0,0,102
99,대구,북구,748,1,1,20,11,250,2,141,0,120,1,1,0,0,0,200
106,울산,북구,211,0,1,4,4,69,1,48,1,32,1,0,2,0,0,48
93,부산,사상구,317,0,2,8,18,111,1,58,0,42,1,0,0,0,0,76
139,경남,사천시,191,0,0,5,7,51,0,35,0,27,1,7,12,0,0,46
88,부산,사하구,541,0,0,18,25,184,1,100,2,85,1,0,0,0,0,125
150,경남,산청군,72,0,0,0,1,13,0,6,0,13,0,9,15,1,0,14
237,강원,삼척시,94,0,1,1,1,27,0,12,0,10,1,8,6,0,0,27
116,경북,상주시,186,0,2,1,3,45,0,25,0,25,1,18,25,0,0,41
1,광주,서구,676,0,5,19,11,250,9,144,18,87,1,0,1,0,0,131
46,대전,서구,1123,0,3,26,12,431,1,222,5,181,1,2,1,0,0,238
80,부산,서구,235,3,1,4,6,60,0,34,1,35,1,0,0,0,0,90
97,대구,서구,374,0,1,8,9,119,0,53,0,70,1,0,0,0,0,113
186,인천,서구,670,0,5,8,9,240,1,144,4,94,1,0,0,0,0,164
43,제주,서귀포시,315,0,1,3,0,105,0,55,0,50,3,5,24,0,0,69
166,서울,서대문구,587,1,1,5,3,208,2,125,1,89,1,1,0,0,0,150
68,충남,서산시,261,0,2,0,2,77,0,48,0,37,1,10,15,0,0,69
74,충남,서천군,116,0,0,1,5,30,0,12,0,14,1,10,17,0,0,26
175,서울,서초구,1465,1,0,12,4,630,5,315,6,252,1,2,0,0,1,236
195,경기,성남시 분당구,1167,1,3,10,6,443,5,261,3,201,1,1,0,0,0,232
193,경기,성남시 수정구,513,0,2,5,6,193,1,116,1,70,1,0,0,0,0,118
194,경기,성남시 중원구,415,0,1,2,4,152,1,84,0,72,1,0,0,0,0,98
157,서울,성동구,593,1,0,6,3,213,1,127,0,93,1,0,0,0,0,148
161,서울,성북구,729,1,0,6,7,251,1,149,0,113,1,0,0,0,0,200
126,경북,성주군,84,0,0,2,5,18,0,9,0,11,1,9,11,0,0,18
236,강원,세종특별자치시,165,0,2,0,2,64,1,30,0,24,1,0,0,0,0,41
,,속초시,0,2,1,5,1,195,1,92,0,3,84,0,1,10,7,148
177,서울,송파구,1527,1,1,16,10,561,4,318,4,250,1,1,0,0,0,360
100,대구,수성구,948,0,1,15,8,346,5,166,2,208,1,0,0,0,0,196
92,부산,수영구,395,0,2,8,11,123,1,78,0,82,1,0,0,0,1,88
190,경기,수원시 권선구,470,0,0,9,4,154,0,99,0,79,1,0,0,0,0,124
192,경기,수원시 영통구,582,1,0,8,5,209,0,144,1,90,1,0,0,0,0,123
189,경기,수원시 장안구,446,0,1,5,9,147,0,97,0,77,1,0,0,0,0,109
191,경기,수원시 팔달구,584,0,2,11,7,221,1,104,3,107,1,0,0,0,0,127
17,전북,순창군,72,0,0,1,1,17,0,6,0,6,0,10,17,1,0,13
22,전남,순천시,452,0,5,17,7,134,1,89,5,53,1,9,22,0,0,109
212,경기,시흥시,622,0,3,4,13,226,2,131,9,74,1,1,4,0,0,154
41,전남,신안군,77,0,0,2,2,12,0,5,0,5,1,16,23,0,0,11
67,충남,아산시,435,0,1,9,10,135,1,83,1,60,1,11,16,0,0,107
112,경북,안동시,290,0,3,5,7,80,2,43,1,42,1,14,25,0,0,67
204,경기,안산시단원구,620,1,2,14,10,229,4,108,8,81,1,2,2,0,1,157
203,경기,안산시상록구,404,0,1,7,7,128,0,79,7,59,1,2,0,0,0,113
221,경기,안성시,271,0,2,2,10,74,1,47,0,33,1,9,15,0,0,77
198,경기,안양시동안구,699,1,0,11,1,253,1,164,0,119,1,0,0,0,2,146
197,경기,안양시만안구,400,0,2,3,8,129,0,88,2,64,1,0,0,0,0,103
245,강원,양구군,33,0,0,3,0,5,0,5,0,4,1,4,3,0,0,8
143,경남,양산시,507,1,2,10,18,174,3,83,2,81,1,6,2,0,0,124
248,강원,양양군,37,0,0,0,0,6,0,4,0,4,1,5,5,0,0,12
225,경기,양주시,252,0,0,5,12,80,0,47,0,30,1,2,3,0,0,72
168,서울,양천구,816,0,3,5,5,279,4,177,3,150,1,0,0,0,0,189
230,경기,양평군,178,0,0,2,8,41,0,29,1,32,1,10,16,0,0,38
21,전남,여수시,471,0,3,7,11,153,2,79,2,55,1,12,28,0,0,118
227,경기,여주시,191,0,0,4,6,50,0,33,0,27,1,9,13,0,0,48
182,인천,연수구,467,0,1,4,4,177,2,101,1,76,1,1,0,0,0,99
91,부산,연제구,450,0,1,10,16,153,2,89,1,80,1,0,0,0,1,96
228,경기,연천군,69,0,0,0,1,13,0,11,0,7,0,7,7,1,0,22
37,전남,영광군,116,0,2,0,2,34,0,15,0,13,1,7,13,0,0,29
123,경북,영덕군,81,0,0,1,2,17,0,9,0,8,1,8,13,0,0,22
82,부산,영도구,203,0,2,1,5,73,0,31,0,34,1,0,0,0,0,56
57,충북,영동군,108,0,0,1,3,27,0,10,0,15,1,10,17,0,0,24
172,서울,영등포구,1001,0,7,8,12,339,1,238,2,149,1,0,0,0,0,244
34,전남,영암군,100,0,0,2,2,23,0,13,0,14,1,10,13,0,0,22
122,경북,영양군,24,0,0,1,0,1,0,3,0,2,1,5,8,0,0,3
240,강원,영월군,56,0,1,1,1,12,0,6,0,6,1,7,5,0,0,16
114,경북,영주시,191,0,1,6,4,51,0,28,1,30,1,10,13,0,0,46
115,경북,영천시,192,0,1,2,3,59,1,19,1,35,1,11,13,0,1,45
77,충남,예산군,156,0,1,1,0,41,0,21,0,22,1,12,16,0,0,41
128,경북,예천군,97,0,0,1,2,21,0,13,1,13,1,10,16,0,0,19
211,경기,오산시,314,0,2,6,6,103,1,70,1,41,1,0,0,0,0,83
56,충북,옥천군,107,0,1,0,4,30,0,11,0,15,1,8,16,0,0,21
188,인천,옹진군,32,0,0,1,0,3,0,3,0,2,0,8,12,0,0,3
39,전남,완도군,96,0,0,1,0,25,0,10,0,9,0,12,18,1,0,20
12,전북,완주군,170,0,0,4,6,50,0,18,0,24,1,12,17,0,0,38
156,서울,용산구,435,0,1,2,0,135,0,106,0,62,1,0,0,0,1,127
217,경기,용인시기흥구,571,0,1,4,13,207,1,129,1,86,1,0,2,0,0,126
218,경기,용인시수지구,534,0,0,3,5,190,1,121,0,98,1,0,1,0,0,114
216,경기,용인시처인구,324,0,2,3,7,102,0,69,1,44,1,7,7,0,0,81
131,경북,울릉군,11,0,0,0,1,0,0,1,0,1,0,2,3,1,0,2
107,울산,울주군,260,0,1,8,11,74,0,44,0,44,1,7,9,0,0,61
130,경북,울진군,83,0,0,1,2,15,0,10,0,11,1,9,16,0,0,18
232,강원,원주시,597,1,1,18,6,197,2,94,1,103,1,9,8,0,0,156
47,대전,유성구,586,0,1,12,11,203,2,102,0,110,1,2,4,0,0,138
165,서울,은평구,874,0,2,11,6,320,1,175,2,145,1,2,0,0,0,209
61,충북,음성군,169,0,0,4,3,47,0,26,0,21,1,8,18,0,0,41
144,경남,의령군,60,0,0,2,2,11,0,5,0,7,1,11,10,0,0,11
120,경북,의성군,108,0,0,5,6,19,0,7,0,10,1,17,21,0,0,22
214,경기,의왕시,189,0,0,2,4,62,1,44,0,30,1,1,0,0,1,43
196,경기,의정부시,729,0,4,13,10,273,2,143,3,95,1,0,0,0,0,185
220,경기,이천시,333,0,1,4,8,108,1,55,0,44,1,7,15,0,0,89
8,전북,익산시,556,1,1,7,11,174,1,95,5,78,1,15,24,0,0,143
246,강원,인제군,46,0,0,1,1,8,0,6,0,5,1,5,5,0,0,14
16,전북,임실군,79,0,0,1,1,16,0,6,0,8,0,11,20,1,0,15
38,전남,장성군,80,0,0,2,2,19,0,9,0,10,1,9,11,0,0,17
15,전북,장수군,44,0,0,0,0,8,0,5,0,4,0,5,11,1,0,10
31,전남,장흥군,80,0,1,1,1,23,0,8,1,10,1,8,11,0,0,15
6,전북,전주시덕진구,591,1,2,7,17,211,1,115,10,77,0,0,2,0,0,148
5,전북,전주시완산구,790,0,2,26,18,265,1,155,11,121,1,0,1,0,0,189
242,강원,정선군,53,0,0,2,0,9,0,5,0,4,1,7,11,0,0,14
9,전북,정읍시,256,0,1,4,5,76,0,34,1,32,1,15,26,0,0,61
42,제주,제주시,930,0,5,4,10,343,1,163,0,143,3,6,23,0,1,228
54,충북,제천시,245,0,2,1,7,85,0,39,1,35,1,8,11,0,0,55
154,서울,종로구,668,2,2,3,0,193,1,163,0,131,1,0,0,0,0,172
45,대전,중구,518,1,2,5,12,175,1,85,1,85,1,1,1,0,1,147
79,부산,중구,182,0,1,1,5,69,0,39,1,25,1,0,0,0,0,40
95,대구,중구,594,1,2,13,3,248,4,109,1,70,1,0,0,0,0,142
103,울산,중구,323,0,2,10,5,108,0,67,0,48,1,0,0,0,0,82
155,서울,중구,728,0,2,4,0,241,6,211,1,95,1,0,0,0,0,167
179,인천,중구,177,1,1,2,4,57,0,36,1,16,1,2,1,0,0,55
160,서울,중랑구,689,0,3,12,3,237,0,148,0,108,1,0,0,0,0,177
58,충북,증평군,62,0,0,1,0,20,0,8,0,8,1,1,1,0,0,22
40,전남,진도군,68,0,0,2,1,16,0,7,0,7,1,6,15,0,0,13
13,전북,진안군,54,0,0,2,0,11,0,4,0,5,1,10,12,0,0,9
137,경남,진주시,597,1,3,13,10,192,3,107,2,94,1,11,13,0,0,147
59,충북,진천군,121,0,1,0,2,36,0,21,0,17,1,7,7,0,0,29
146,경남,창녕군,129,0,0,4,7,29,0,13,0,15,1,13,19,0,0,28
134,경남,창원시 마산합포구,329,0,3,9,12,101,0,63,0,53,1,4,3,0,0,80
135,경남,창원시 마산회원구,334,0,3,7,9,132,1,55,0,47,0,2,0,0,1,77
133,경남,창원시 성산구,405,0,3,8,1,135,2,91,2,85,0,0,0,0,0,78
132,경남,창원시 의창구,362,0,1,8,13,116,1,64,1,59,1,3,2,0,0,93
136,경남,창원시 진해구,271,0,1,9,5,89,2,49,0,42,1,1,1,0,0,71
63,충남,천안시동남구,421,2,1,2,12,129,3,68,0,72,1,8,11,0,0,112
64,충남,천안시서북구,648,0,1,18,11,213,5,116,6,98,1,4,7,0,0,168
243,강원,철원군,70,0,0,1,1,18,0,8,0,8,1,4,7,0,0,22
124,경북,청도군,85,0,0,4,5,20,0,9,0,12,1,8,10,0,0,16
121,경북,청송군,55,0,0,1,0,13,0,5,0,8,0,6,11,1,0,10
75,충남,청양군,62,0,0,1,2,10,0,6,0,6,0,9,13,1,0,14
49,충북,청주시 상당구,345,0,2,3,3,118,0,58,3,57,2,4,11,0,0,84
50,충북,청주시 서원구,335,1,1,5,8,114,2,50,1,55,1,2,2,0,0,93
52,충북,청주시 청원구,285,0,1,5,4,99,0,53,0,40,1,3,7,0,1,71
51,충북,청주시 흥덕구,455,0,2,9,4,160,1,89,1,76,0,4,5,0,0,104
231,강원,춘천시,472,0,2,9,7,161,0,81,0,69,1,10,13,0,0,119
53,충북,충주시,347,0,2,3,7,123,1,49,1,47,1,13,16,0,0,84
127,경북,칠곡군,151,0,0,3,5,45,0,23,0,18,1,7,10,0,0,39
235,강원,태백시,64,0,1,1,0,23,0,9,0,7,1,1,1,0,0,20
78,충남,태안군,112,0,0,1,1,29,1,13,1,13,0,6,16,1,0,30
138,경남,통영시,230,0,0,7,4,78,0,34,1,27,1,3,18,0,0,57
219,경기,파주시,573,0,1,11,20,184,0,114,1,85,1,6,7,0,0,143
241,강원,평창군,84,0,0,0,2,17,0,13,0,10,0,6,15,1,0,20
201,경기,평택시,765,0,4,11,7,253,0,148,1,111,2,9,11,0,1,207
226,경기,포천시,209,0,2,2,6,62,0,36,0,24,1,13,9,0,0,54
108,경북,포항시 남구,372,0,3,2,5,107,0,72,1,63,1,7,10,0,0,101
109,경북,포항시 북구,505,0,2,12,24,171,1,90,0,64,1,7,12,0,0,121
215,경기,하남시,381,0,0,7,4,148,0,76,0,58,1,0,0,0,0,87
149,경남,하동군,94,0,0,3,2,20,0,12,0,9,1,12,18,0,0,17
145,경남,함안군,94,0,0,3,4,22,0,13,0,12,1,5,9,0,0,25
151,경남,함양군,83,0,0,1,0,22,0,9,0,10,1,10,11,0,0,19
36,전남,함평군,76,0,0,2,2,15,1,8,0,7,1,8,16,0,0,16
153,경남,합천군,96,0,0,3,2,17,0,10,0,14,1,16,15,0,0,18
33,전남,해남군,135,0,2,2,2,36,0,16,0,10,1,13,18,0,0,35
87,부산,해운대구,814,0,2,14,18,320,4,160,1,133,1,2,0,0,0,159
76,충남,홍성군,179,0,1,0,6,50,0,26,2,23,1,11,14,0,0,45
238,강원,홍천군,115,0,1,2,3,30,0,16,0,11,1,8,18,0,0,25
223,경기,화성시,1001,0,3,12,12,339,0,204,3,148,1,15,12,0,0,252
30,전남,화순군,132,1,0,3,14,31,0,16,1,11,1,12,13,0,0,29
244,강원,화천군,36,0,0,0,0,8,0,5,0,4,0,4,6,1,0,8
239,강원,횡성군,69,0,0,1,1,13,0,7,0,13,1,8,8,0,0,17
